Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,2.46241000734,1.87719384456,1.78354154015
1,5.33318118997,2.93448740257,4.2435212466
2,6.66000297164,3.18939514114,5.72314096344
3,8.13805911823,3.41036784417,6.52041180028
4,8.85537388066,4.03689196492,7.30458256892
5,9.8900429439,4.15436988756,7.57915032532
6,10.6214003174,4.15436988756,8.02220658903
7,11.2525724375,4.20480027884,8.23411120693
8,12.0213817851,4.34945209716,8.46756901191
9,12.6556478127,4.3525405579,8.76170441225
10,12.6921753443,4.3525405579,9.33435287948
11,12.9854931279,4.7418781003,9.85665331161
12,12.9973398642,5.15316187454,9.8743871858
13,13.1940357257,5.25334312335,10.1462536379
14,13.5797762961,5.42798093518,10.4360413266
15,13.8409259727,5.57485681945,10.7118214075
16,14.1142292578,5.59073546585,10.9953067755
17,14.7332637753,5.82335595428,11.1349446212
18,14.9189579934,5.89262660003,11.1957377081
19,15.0103565472,6.01808510429,11.324389172
20,15.4739987655,6.15714331166,11.5133503607
21,15.6112547414,6.15714331166,11.625710208
22,15.7424344998,6.15714331166,11.625710208
23,15.9873730346,6.15714331166,11.7079691594
24,16.067787047,6.18184072859,11.7359749721
25,16.3999144348,6.36253682967,11.7359749721
26,16.5397044657,6.37028302355,11.8467174759
27,16.8032255181,6.37966922009,11.8919958487
28,17.1121766047,6.41901445574,12.05344342
29,17.3112735247,6.62536816392,12.1468362101
30,17.4515142813,6.83192124202,12.3603660413
31,17.7642585704,6.87370129644,12.4358412947
32,18.032910604,6.94169534169,12.4895899891
33,18.3059363913,7.03449302353,12.6363582386
34,18.4973721523,7.07290585158,12.6774884291
35,18.7045383571,7.07290585158,12.7143174885
36,18.9180513231,7.11517680998,12.805883302
37,19.0792850099,7.11517680998,12.805883302
38,19.1855601168,7.13949176113,12.850411924
39,19.2892195943,7.13949176113,12.850411924
40,19.4811041302,7.161676665,12.9275541629
41,19.856040119,7.17942803314,12.9275541629
42,20.1541501457,7.20765386622,12.9685590564
43,20.2932584479,7.21488540659,12.9757905968
