Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.18787856676,0.932032537818,1.04176731802,1.09894456771,2.96203722566
10,13.1362004148,2.58233519314,7.16135139815,6.66271797869,11.434209905
20,18.5834880463,3.17564746506,9.15820098057,7.41687777514,12.6158448235
30,21.8202070139,3.59065427363,10.2689841436,7.95552176499,13.1990975598
40,25.4277170091,3.84045443689,11.0643329531,8.25730842977,13.5109166918
50,29.0508316367,4.03812450675,12.1850500914,8.44769388443,13.7795111112
60,31.5233873837,4.26312837074,12.845950022,8.63429459393,14.0122414163
70,33.819340694,4.421423006,13.4962891109,8.93249410997,14.1632904742
80,35.7117147561,4.61682292539,14.2005601391,9.23116538624,14.3988741261
90,36.7101411648,4.82520133742,15.3674600792,9.48326014203,14.6652799888
100,37.3076461011,4.89805182346,16.1638806031,9.70115052126,14.8469662629
110,38.2789913481,5.03650082723,17.1251396318,9.89381564899,15.0793517885
120,39.225313126,5.11694173168,17.8949280996,10.2833489261,15.2969642371
130,39.8542323566,5.17331734743,18.5678600718,10.4022266223,15.4227598195
140,40.8621440551,5.19965913489,19.6838854569,10.4528812017,15.4665820019
150,42.0360068461,5.23069128646,20.3819187436,10.5951609411,15.5222417143
160,42.7717910686,5.27824795073,20.900895855,10.7599079652,15.7272729065
170,43.5656969788,5.33966852697,21.2936417284,10.8957076215,15.8719843489
180,44.4384690481,5.35581691511,22.4259744933,10.9094771071,15.9011758946
190,45.5224501101,5.37019016607,23.2642888449,11.0388450389,16.0305139226
200,46.1788096989,5.46164246006,24.2865773489,11.194159855,16.2312361259
210,46.6208142996,5.51975160479,24.4869245753,11.3224541479,16.3328613439
220,47.2873088536,5.54241814031,24.5836590575,11.3754985503,16.384299876
230,47.9209387387,5.56731488693,25.0077449233,11.4114478647,16.4165673419
240,48.4777249469,5.58893998563,25.35076556,11.4885300433,16.5131868471
250,49.2366901691,5.70112672214,25.6012281018,11.5989669656,16.6236237694
260,49.9720284045,5.75511997031,25.7882736739,11.7385258949,16.7702967662
270,50.6383896811,5.77145490179,26.0817237384,11.8536722861,16.9346902656
280,50.9967534528,5.91343130809,26.337371335,11.9955482909,17.0841143566
290,51.443963811,5.97618667301,26.5881650331,12.1255357683,17.180014847
300,51.6931112407,6.0666591777,26.7287518742,12.2419262204,17.2920964671
310,52.0382094995,6.06700516492,26.8782100398,12.3028711158,17.3087574386
320,52.2786213917,6.0730790848,27.0383447067,12.3089450357,17.3673444913
330,52.7373404078,6.0907896468,27.1488610497,12.4509859687,17.431871
340,52.9230333823,6.1189647014,27.2773072443,12.5271654944,17.463494846
350,53.1368380248,6.1603055874,27.481266351,12.6598067884,17.6137635673
360,53.5518922588,6.19363397059,27.6051958103,12.7839312971,17.6764027594
370,53.776033689,6.20258466027,27.7601179356,12.8480126581,17.7404841204
380,54.0817213139,6.21573608007,27.8109490079,12.8886342899,17.8076586141
390,54.3914319303,6.25582381476,27.9126210135,12.9445326359,17.8648639684
400,54.566790582,6.27636119411,28.0138456447,12.9988272478,17.9191585803
410,54.7428905605,6.28928520084,28.087541401,13.038050993,17.9748561646
420,54.7918500291,6.29711382331,28.1855271552,13.1211017086,18.0129753259
430,54.9438519114,6.3086585436,28.2349061361,13.1546798397,18.046553457
440,55.1355297683,6.34404893553,28.377141379,13.2276957206,18.1481983603
450,55.3011802926,6.35867986012,28.4188498921,13.2410278589,18.1617717818
460,55.471761607,6.39327460402,28.4679899232,13.2693125434,18.1967975458
470,55.5972793276,6.42644510053,28.4992840528,13.3264513249,18.2299680423
480,55.7431996695,6.45069659617,28.5960534431,13.3813244543,18.2701250761
490,55.9381999097,6.45744113584,28.6919007132,13.4639031413,18.3345849078
