Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,LinUCB
0,4.19208925492,2.9494906233,2.24068810204,3.34868173643
10,13.4947811783,5.18431430836,6.1459331077,9.50780343533
20,18.8145239013,5.975129805,7.07619660019,11.1136595392
30,20.7870581738,6.47154874154,7.75773467413,12.2996542633
40,22.0659310778,6.65468358049,8.29903674194,13.2751592862
50,23.2892723725,6.87443338408,8.62200438815,13.9223601274
60,25.0060142415,7.1339477856,8.85075929293,14.3647455335
70,26.4486976869,7.3128131826,9.58517547255,14.7864815785
80,27.045587237,7.42171598339,9.88278179207,14.9987142049
90,28.1843706296,7.74166677635,10.8389667288,15.3951109234
100,29.9029415331,7.85837444732,11.5124248912,15.7638331702
110,30.3073764696,7.97732497328,12.0656230571,16.062838134
120,31.4841575432,8.00892759578,12.377522518,16.25954725
130,32.3189967678,8.12454714104,12.9840499365,16.4207528623
140,33.4898431073,8.17112661719,13.7568741502,16.6265943339
150,33.867040641,8.28409818958,14.1091523602,16.8918167467
160,35.2099042696,8.37375657322,14.2779410906,17.003491274
170,36.6657948219,8.52153803383,14.5019190459,17.1757355756
180,37.4204925566,8.55914612039,14.6387175995,17.30583083
190,37.8961288883,8.61433708414,14.8173411909,17.3736268866
200,38.3430314204,8.64811398899,14.9678893698,17.4111525195
210,39.0153899209,8.66068624219,15.3021284679,17.4366058388
220,39.6178363823,8.6762132949,15.3987823042,17.483402973
230,40.093360663,8.73174041134,15.5015912962,17.5847148165
240,40.6136539221,8.83564617329,15.6940449413,17.6903634652
250,41.1552221473,8.8720493568,15.773498483,17.8354661914
260,41.5906240095,8.90959340984,15.9251690777,17.9675215252
270,42.0107793577,8.91704537484,16.0674638957,18.1553793078
280,42.4561140155,8.95443743392,16.2172500715,18.3785554718
290,43.010372543,8.98447599273,16.3423750229,18.5019177724
300,43.3772860407,8.98465956417,16.4045339422,18.56573664
310,43.521559308,9.00223041558,16.4769833398,18.5900355386
320,43.8195737401,9.02549047146,16.5427022566,18.6894315954
330,43.9116537258,9.09554644741,16.6196112539,18.7784840699
340,44.0479222033,9.1193570654,16.638186917,18.8705795971
350,44.1575607567,9.18889513402,16.7086096699,18.9620213129
360,44.3615944091,9.23014739492,16.7848150291,19.1054286087
370,44.5435995001,9.23929337726,16.8951784431,19.2720286653
380,44.6537566941,9.26516442064,16.9524738604,19.351790632
390,44.979477974,9.29542341897,17.1082913889,19.464181065
400,45.3210649855,9.33095512792,17.2327758149,19.5483209647
410,45.6249625417,9.41671439086,17.4145584365,19.7132859492
420,45.8162105436,9.48112743649,17.4938461178,19.7410078502
430,46.0472861155,9.48112743649,17.5538371606,19.772229857
440,46.1882381946,9.48112743649,17.5751947781,19.8170650988
450,46.3207244795,9.54209727361,17.6958064668,19.8841654995
460,46.4815472829,9.57031144867,17.7343581756,19.9227172084
470,46.563530154,9.60168747527,17.7896163098,19.9472347093
480,46.7270162463,9.6604505066,17.9024909147,20.0123271758
490,46.8062793955,9.67792675478,17.9843322252,20.0895032856
