Time(Iteration),WCoLinUCB,W_W0,WknowTheta,LinUCB
0,4.85771277815,2.38775211832,1.36867961478,2.58356831832
10,17.8462721114,6.68569946911,6.04626015872,8.32743392219
20,26.433990854,7.92486872777,7.75348110612,9.81911440591
30,30.9426988163,8.43446793635,8.37161422384,11.0111657091
40,37.6352606178,8.86745544465,8.72606164512,11.3656340843
50,43.0511680266,9.51131157148,9.2305897934,11.9646861164
60,45.917377454,10.3647917366,9.69017270166,12.6241986082
70,47.5443376781,11.0394621872,10.047824921,13.0561210047
80,48.6631075708,11.3124286229,10.2578515811,13.2895590967
90,50.3500063302,11.990860763,10.6081745708,13.5848700931
100,51.2262226337,12.288940389,11.0290795073,13.854427671
110,51.8486616627,13.5656408505,11.2657970587,14.2511929762
120,53.2180523887,14.3804583034,11.5917357529,14.3767960564
130,54.0631349121,14.8069930181,11.8542250452,14.6238676817
140,54.8377335936,15.324026957,12.0139216883,14.8246561967
150,56.2019853012,15.4037082182,12.035845661,14.8366345689
160,57.718811572,15.6546000879,12.1681542409,14.9078650513
170,59.1314359154,15.7398146667,12.3816172883,15.1363822157
180,59.9504192254,16.0815603255,12.4604583089,15.4028159994
190,60.736226938,16.1598682361,12.5397427395,15.57939935
200,61.1467661481,16.3304968904,12.5877549158,15.7017235246
210,61.427386539,16.5298326915,12.6428114082,15.7350237245
220,61.9097469874,16.6736117792,12.7185366704,15.8238240658
230,62.3851192138,16.796118961,12.8516840333,15.838901906
240,62.585407281,16.8674004038,12.9267046188,15.8797606854
250,63.0154116861,16.9500004484,13.0228056998,15.9661369477
260,63.4542307856,17.0673086384,13.0972844322,16.0694943044
270,63.7262161919,17.1779252499,13.1595325219,16.115729853
280,64.0865897672,17.3897994579,13.3303127878,16.2678022249
290,64.2327182466,17.5297166042,13.4351878268,16.3788933172
300,64.3522419957,17.7555906117,13.4726742226,16.516554739
310,64.6622087069,17.8698226483,13.5183070161,16.592396054
320,64.7786388189,17.952594734,13.5668462285,16.6424612358
330,64.9341665451,17.9895208071,13.6230202057,16.6829028568
340,65.0504781713,18.045890555,13.6608085636,16.7227473542
350,65.5210037427,18.228288295,13.7502124712,16.9021518192
360,65.87808124,18.2721689945,13.7988180063,16.9279551601
370,66.0947513569,18.3889416905,13.855676557,16.9997406398
380,66.2245127606,18.4738198333,13.9432297947,17.0381905177
390,66.4636117395,18.5378742372,13.9586217532,17.114487635
400,66.5270228865,18.5673812334,14.0085949402,17.1856861369
410,66.7319391865,18.6019489865,14.0333809703,17.2252302264
420,66.8967756967,18.714458664,14.0505035824,17.2586458397
430,67.0974462425,18.8048357893,14.0913435196,17.3134185114
440,67.2079150916,18.9248238564,14.123661672,17.4061724878
450,67.3074278951,19.0223523923,14.1530256847,17.4355365005
460,67.4358469389,19.0632157876,14.2047090558,17.5051061728
470,67.5780007142,19.2328671159,14.2216533555,17.5452841601
480,67.6860765291,19.3211718869,14.2590489192,17.6079831004
490,67.8689021561,19.7024987702,14.3239757879,17.665217393
