Time(Iteration),WknowTheta,LinUCB
0,1.45838860722,2.72581045096
10,28.7801577379,13.229530062
20,66.0569524325,14.8686447639
30,114.398643759,15.7776619454
40,162.223792937,16.5742415204
50,210.547975354,17.3268810825
60,259.177672724,17.7102858618
70,307.361614047,18.0120245025
80,354.684974913,18.1878842677
90,402.830516756,18.490116623
100,450.571310277,18.831041466
110,499.674816858,18.8790534989
120,548.638123447,19.0640823615
130,595.987508923,19.3637266321
140,644.081712454,19.4674770611
150,691.619091672,19.7480258131
160,739.463808938,19.8824939051
170,787.928735706,20.1294690601
180,837.317431866,20.3119380536
190,884.20376618,20.4406490936
