Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.33896054423,0.493009922144,1.34762997483
10,5.46121623109,2.71938123477,11.8876578058
20,7.87304988689,4.07542869252,19.5955070679
30,8.78383481451,5.34912742802,24.7004538817
40,9.40995843533,6.26587262854,28.9950976831
50,10.2665774832,7.69719211228,32.3103098026
60,11.2680798243,8.64261268538,35.4594571452
70,11.8891794405,9.28748284699,37.9220452321
80,12.5015376049,9.77202852842,39.5106900997
90,13.2132380109,10.7597890997,41.3023135514
100,13.6516024097,11.0361787451,42.2597085905
110,13.9654530987,11.6747075392,43.8784133436
120,14.3597548811,12.1032430108,45.7400281684
130,14.7496002953,12.6474832894,46.6293959934
140,15.1145949991,13.1114333783,47.9519100648
150,15.4827687761,13.4095905419,49.0699593357
160,15.8909143804,13.7044438689,49.9766422601
170,16.3317438453,13.988493517,50.8125079337
180,16.8793736423,14.4083679101,52.0411861982
190,17.2970168003,14.8749013522,52.9202316989
200,17.5304148351,15.061546109,53.6086399946
210,17.6988417685,15.2458984298,54.145487637
220,18.007235825,15.7228398849,54.9316236539
230,18.313869112,16.2336687303,55.8248899128
240,18.5580229409,16.3671606748,56.6351654345
250,18.8296558791,16.8154476341,57.4405492964
260,19.1883420278,17.1038469896,57.8921106378
270,19.5036507895,17.4874801597,58.785903153
280,19.7270402279,17.732773145,59.3468206114
290,19.8845953364,17.9945275162,59.8526616132
