Time(Iteration),AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,1.99853244756,3.33397326533,0.939624877783,3.00319187135
10,4.2809266988,12.3506866752,6.73614671926,7.71343023117
20,5.45325919552,16.7942632241,8.12031958871,9.01538569272
30,6.41749744333,18.0695267463,8.86633334386,9.62037245861
40,7.0820986585,19.2813947227,9.69779518397,10.1455187954
50,7.39432989297,20.2454668287,10.0038102518,10.3853463052
60,7.61524763294,21.1072551625,10.5937572094,10.6131382917
70,7.73941578743,21.9053315383,11.0257456022,10.9317017411
80,7.8534813349,22.3560219125,11.3391623465,11.2284191519
90,7.96520377656,22.8971121085,11.9437496324,11.6984220068
100,8.17783324919,23.7750663046,12.2986414178,12.0908661098
110,8.22812147373,25.7162217655,12.6593695305,12.518539803
120,8.26382846114,26.1644520047,12.8930992341,12.8456821249
130,8.32722548626,27.621895771,13.0703899476,12.9499080448
140,8.35625848481,27.9891210363,13.2284041556,13.1104231585
150,8.3867403078,29.0307735212,13.3548673044,13.2862935294
160,8.39537466526,29.3930327968,13.4737520035,13.4047184829
170,8.4208915359,29.9125216512,13.6137867095,13.4604181844
180,8.46524143945,30.2076690042,13.7229572069,13.5984367202
190,8.55110642757,30.7547130943,14.0793002326,13.8826114262
200,8.60603981506,31.1444112367,14.2658081517,14.1919315279
210,8.65349600085,31.4193741214,14.4227949893,14.3677422853
220,8.67687632442,31.7548999512,14.6102077086,14.549982726
230,8.72989408095,32.0925970458,14.8727757192,14.8029091065
240,8.78585464003,32.3323574314,14.9561411368,14.9215393833
250,8.7875919419,32.5792854744,15.051538751,15.005492252
260,8.88006738605,32.971607649,15.2197730255,15.2830643982
270,8.97570261785,33.1967348742,15.3343460236,15.3952746777
280,9.07737639752,33.488577941,15.6946784919,15.8082489227
290,9.08469911527,33.6698547512,15.7359651149,15.8420091169
