Time(Iteration),WCoLinUCB,WknowTheta,LinUCB
0,2.59767020328,0.456996113855,2.78918110306
10,11.1286927305,6.1856016261,8.58944182665
20,15.7819982168,7.40741250038,10.6105479872
30,19.1651280386,8.36206324464,11.9858830697
40,22.3942644785,8.83381018464,12.6746057683
50,24.233190755,9.3494387066,13.3841474238
60,25.3544226904,9.6233269187,13.676018236
70,26.2555805876,10.0191890641,14.1233738396
80,27.4558936377,10.2998152616,14.4357896105
90,28.2084080946,10.7440638023,15.0334063879
100,30.3038659088,11.0462129804,15.4194111144
110,31.487811489,11.225639949,15.5586369063
120,32.1343890861,11.3954431747,15.7982051847
130,32.999815122,11.5253145765,16.0787948505
140,33.6546716036,11.7923138974,16.4741648454
150,34.4274958153,12.0569326774,16.7629672645
160,35.0939180203,12.1558797352,16.8326132149
170,36.0425154034,12.2806637987,16.9243294372
180,36.5578064212,12.3905181883,17.0819081693
190,37.1867712615,12.5186933266,17.1606083281
200,37.8081079612,12.5453239812,17.2621955914
210,38.4091954472,12.6770154025,17.3932678821
220,38.7793192212,12.7783670613,17.504489343
230,39.2469837355,12.9028725606,17.6073000073
240,39.5444099804,12.9485426362,17.6668808629
250,40.0511612448,13.1350978207,17.8534360474
260,40.2055388081,13.2145331565,17.8982492013
270,40.3430079516,13.3593483786,18.096407492
280,40.5215491421,13.4953289082,18.2488069052
290,40.8199793113,13.6263721138,18.3601599017
Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,2.85595160712,3.29717695713,3.15852210449
10,12.7082274224,13.7151253724,9.46108475283
20,19.1715679597,16.9634440975,11.2038080244
30,24.5237436225,18.0477004073,11.9664302175
40,28.730555062,19.4671331182,12.8291165808
50,30.4416928985,19.7112711983,13.1180241868
60,31.5201021123,20.0867531097,13.3632379829
70,32.5637049436,20.7413731473,13.9994597659
80,33.1324977628,21.9368965066,14.4561698785
90,33.793871857,22.6822914613,14.7949644951
100,34.3662126161,23.4390308882,15.0428295942
110,35.2924230579,23.8075520492,15.1836815156
120,35.5557453553,24.6915821319,15.3556788524
130,36.690788381,25.0644990603,15.4433104519
140,37.2890393072,25.4730908244,15.5855267066
150,37.9161970645,25.7150931425,15.7333506192
160,38.298337293,26.0446985756,15.8969171457
170,39.1639846545,26.418392573,16.0536243786
180,40.2953956321,27.1337994667,16.1572566355
190,40.7754654956,27.4533829683,16.2363115125
200,41.1594051284,27.6413754218,16.2960251942
210,41.4436824982,27.7004213147,16.4588521069
220,41.8932386978,27.8639263285,16.5626898623
230,42.1723943735,28.0808645121,16.6049694257
240,42.5610356824,28.2299532509,16.6656994853
250,42.8917562582,28.3533770218,16.7491924914
260,43.0407870918,28.4289438095,16.865090765
270,43.2960015715,28.534996495,16.9521706324
280,43.4738890693,28.6243834801,16.9965034359
290,43.5661376408,28.6889067696,17.0899664861
