Time(Iteration),AsyncCoLinUCB,LinUCB
0,2.93511674305,3.09524562091
10,5.1647237788,9.61021064514
20,5.96570311035,11.6047419277
30,6.32639835736,12.4996144189
40,6.54740049889,13.1372991063
50,6.88022246717,13.8341737906
60,7.17442751666,14.180295013
70,7.46499210093,14.4971151092
80,7.55662970166,14.8601949385
90,7.74151286901,15.1409541167
100,7.87802304134,15.3615366635
110,8.08270980239,15.67710953
120,8.2003451992,15.820800021
130,8.28367468186,15.9956211108
140,8.35250482976,16.2176110564
150,8.48056235837,16.4899129859
160,8.53514806779,16.5253851765
170,8.59902209075,16.6414820247
180,8.64900446504,16.7028152886
190,8.73853099977,16.8380234752
200,8.79212310985,16.8921053055
210,8.90796843981,16.9870360675
220,9.10954374177,17.2263455718
230,9.24288325877,17.3052521158
240,9.29390196134,17.3460075419
250,9.36184379386,17.3926485664
260,9.46812881914,17.4961011154
270,9.55079161836,17.5479541316
280,9.6276246709,17.6681365011
290,9.70370507526,17.7708180517
Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,1.25880578268,2.65426489889,2.87285631819
10,3.52185082272,17.1246843896,11.536864762
20,4.05094912745,19.4226545478,12.8481776133
30,4.39856488537,21.1243381671,13.6992130175
40,4.57620776955,21.9095557552,13.9977549465
50,4.67103880725,22.558625862,14.4204269279
60,4.76442729311,22.9642058798,14.7893380034
70,4.80629207783,23.7353985093,15.3272913052
80,4.84452734175,24.2079754478,15.7588358654
90,4.93940774389,25.1898204114,16.2576778294
100,5.00129832058,25.7912068291,16.651192453
110,5.07403895341,26.4078480692,16.7830892085
120,5.12350403538,26.9238541473,16.9303901619
130,5.14025854744,27.4806572751,17.1350095209
140,5.1965921126,28.1752459304,17.5017750171
150,5.2333184772,28.5094074421,17.6468856624
160,5.29763542113,28.8875088678,17.8530974341
170,5.30289784606,28.9890097805,17.9911786927
180,5.3581397749,29.5771944577,18.1310300698
190,5.4366635269,29.762259477,18.3072976056
200,5.4701275843,30.0815346843,18.4550183546
210,5.53861251763,30.4866463513,18.7338132368
220,5.56477132413,31.0712958561,18.8939238903
230,5.64989771192,31.4587259557,19.0665309153
240,5.73166493606,31.6018538056,19.2369710662
250,5.75570714098,31.8153377328,19.3951648818
260,5.80450662431,32.0836423002,19.5035713967
270,5.81749482673,32.2731978892,19.5987858397
280,5.8682257194,32.4039870468,19.7417981259
290,5.89442239271,32.7172584102,20.0204755739
