Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,1.24464610354,2.39820237479,2.82720864496
10,3.784624106,10.17813459,11.0021079427
20,4.38988594278,11.9696537751,12.34501036
30,4.89831475682,13.4333787724,13.2911972393
40,5.13916544647,14.0745938754,13.7765957982
50,5.41135784955,15.0556147666,14.264031025
60,5.580575043,15.6268627011,14.6077336037
70,5.66593933269,16.2532601141,14.9976966374
80,5.77248425828,16.5480184319,15.1729949728
90,5.78004999582,17.0128949451,15.4805190922
100,5.88483467539,17.3580439711,15.6919285517
110,5.98293236777,18.3351828114,15.9000549544
120,6.03908543466,19.4159958089,16.2026307501
130,6.058078603,19.994847268,16.3167094355
140,6.07084193124,20.5148845134,16.453327704
150,6.13563006841,20.9225801691,16.6130404391
160,6.17926583083,21.5863077896,16.7235891355
170,6.18939390063,21.9721624395,16.8557064659
180,6.21496389748,22.0805330781,16.9427478034
190,6.22790565726,22.4945274798,17.246531358
200,6.27794594931,22.6627170111,17.3753681158
210,6.33685166423,23.0459581004,17.5326621157
220,6.3989668532,23.1984575587,17.7107643941
230,6.43121564239,23.2606856234,17.8520819342
240,6.50788759053,23.5449708275,18.0209085472
250,6.558281911,23.6463193471,18.1163253905
260,6.5814119735,23.8217788088,18.2985530202
270,6.60613754284,24.0716265342,18.4093729956
280,6.61776641941,24.1645539836,18.424583656
290,6.65721506654,24.2192192159,18.4724716277
