Time(Iteration),WknowThetaCoTheta,LinUCBCoTheta,WknowThetaTheta,WknowThetaW
0,10988.0247161,0.690848225476,0.0,0.0
10,32085.5147162,0.221619875856,0.0,0.0
20,43030.6360056,0.219765415653,0.0,0.0
30,43030.6360056,0.185210584202,0.0,0.0
40,43030.6360056,0.176372714823,0.0,0.0
50,46157.0363599,0.167811544364,0.0,0.0
60,46157.0363599,0.157076816279,0.0,0.0
70,46157.0363599,0.135057775976,0.0,0.0
80,46157.0363599,0.135176120941,0.0,0.0
90,46157.0363599,0.132170164873,0.0,0.0
100,46157.0363599,0.123188913537,0.0,0.0
110,46157.0363599,0.118857473008,0.0,0.0
120,46157.0363599,0.110590943409,0.0,0.0
130,46157.0363599,0.110416831096,0.0,0.0
140,46157.0363599,0.11016592948,0.0,0.0
150,46157.03636,0.105790819253,0.0,0.0
160,46157.03636,0.097379037991,0.0,0.0
170,46157.03636,0.0919888246904,0.0,0.0
180,46157.03636,0.0865876068156,0.0,0.0
190,46157.03636,0.0792541530407,0.0,0.0
