Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.564967711479,0.2520903357,0.590460659175,0.828976202935,0.0,0.0
1,0.369372173358,0.207915927296,0.514994771846,0.647536257867,0.0,0.0
2,0.305083036614,0.192222039806,0.414022390257,0.603404409983,0.0,0.0
3,0.244711620627,0.20406970071,0.33337971444,0.570414668536,0.0,0.0
4,0.19953656375,0.197702805749,0.32035454952,0.530391450254,0.0,0.0
5,0.167964789265,0.179533203535,0.317426839878,0.473082121254,0.0,0.0
6,0.160084991199,0.361769915893,0.294939055571,0.453574895747,0.0,0.0
7,0.139707091914,0.312557535845,0.295131747626,0.423216036463,0.0,0.0
8,0.131810983993,0.29821581822,0.267909445632,0.403929004976,0.0,0.0
9,0.128662172044,0.405860149697,0.233068935775,0.392916120646,0.0,0.0
10,0.112842224719,0.532956457851,0.218705326201,0.356789452002,0.0,0.0
11,0.119600992193,0.453279366032,0.215831795377,0.366823336636,0.0,0.0
12,0.116882856982,0.490765773727,0.209489614986,0.36377409029,0.0,0.0
13,0.113348283075,0.643803426644,0.197555639179,0.353214166779,0.0,0.0
14,0.122394479071,0.72120975463,0.199328626221,0.346884320445,0.0,0.0
15,0.121842707977,0.758373809803,0.181416402148,0.347217491561,0.0,0.0
16,0.111870184388,0.7745041333,0.168936417556,0.333403687664,0.0,0.0
17,0.111135807092,0.833394444169,0.172200315662,0.338370777699,0.0,0.0
18,0.107326410612,0.862581757931,0.175137066171,0.332051909075,0.0,0.0
19,0.10836057758,0.854759608325,0.174881763376,0.330228036161,0.0,0.0
20,0.0993953033746,0.807008557562,0.170676744395,0.315003778476,0.0,0.0
21,0.0968913844169,0.791346774871,0.168568416203,0.309888425786,0.0,0.0
22,0.096447488376,0.797524850194,0.162499314279,0.312637975884,0.0,0.0
23,0.095274948357,0.799725534722,0.162109409962,0.31290751631,0.0,0.0
24,0.0944647003659,0.783489278854,0.167528521398,0.311690873051,0.0,0.0
25,0.0936258314448,0.771458869009,0.183282218068,0.299614887583,0.0,0.0
26,0.101052941785,0.783194098811,0.183995190006,0.310964056449,0.0,0.0
27,0.0954584701563,0.778831897792,0.182374038498,0.30022889372,0.0,0.0
28,0.0965631998051,0.744319406657,0.179283073972,0.300146944705,0.0,0.0
29,0.0923530671782,0.728120803616,0.174527872478,0.289342016346,0.0,0.0
