Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,W_W0Theta,W_W0W
0,0.493644122848,0.696110408039,0.657628098393,0.758905007654,0.845948751598,0.845948751598
10,0.186776166967,0.223188963196,0.221120062835,0.371465721951,0.667991333654,0.667991333654
20,0.104142244301,0.230912613698,0.156777262328,0.301630094475,0.624660086364,0.624660086364
30,0.0984864432483,0.195839737462,0.143980896183,0.266270267638,0.633351654249,0.633351654249
40,0.088714192256,0.17881002647,0.126109305296,0.224353235052,0.63631838265,0.63631838265
50,0.0876022982151,0.165604755724,0.125956528503,0.21554576204,0.627683005058,0.627683005058
60,0.0778250844811,0.163203567097,0.110137399483,0.215291898663,0.628280325354,0.628280325354
70,0.0800315267099,0.160046156848,0.105567637801,0.208349651841,0.636369210357,0.636369210357
80,0.0667403001531,0.138750311032,0.10664135249,0.200849375864,0.635913919572,0.635913919572
90,0.0673949624225,0.140862194386,0.104460932018,0.199400965048,0.636706534652,0.636706534652
100,0.0645289886143,0.122458097528,0.0977201752596,0.187768104225,0.61852646616,0.61852646616
110,0.0631663459013,0.147877824944,0.101440230075,0.177806644978,0.621932729807,0.621932729807
120,0.0542134777616,0.13687215263,0.0980494075164,0.159875478749,0.620270113794,0.620270113794
130,0.0488539904562,0.128909562648,0.0921046319641,0.168107313552,0.62700208426,0.62700208426
140,0.0527144178388,0.126351414855,0.0978114044842,0.181826083287,0.624408160789,0.624408160789
150,0.0436724470365,0.113127815309,0.0950372896511,0.166338253857,0.628527097224,0.628527097224
160,0.0456360632718,0.113426215045,0.0957591274665,0.163526263555,0.627045488651,0.627045488651
170,0.0465096242878,0.101836174936,0.0883728362463,0.167252480836,0.621889877646,0.621889877646
180,0.0470058694112,0.095715140466,0.0845342272301,0.16644898763,0.616644464009,0.616644464009
190,0.0433598357819,0.0923268083955,0.0834395199761,0.165224949239,0.619971691874,0.619971691874
200,0.0413628234612,0.0894205178592,0.0779564053195,0.17182471538,0.624246648404,0.624246648404
210,0.0388743567138,0.0822537137928,0.0747066649158,0.171774742564,0.623974258376,0.623974258376
220,0.0381651123846,0.075348523043,0.0732630526699,0.160395429934,0.618565461882,0.618565461882
230,0.0377708091787,0.0748941515716,0.0748977397456,0.161663641096,0.623183977176,0.623183977176
240,0.0344816685761,0.0752379669469,0.071649772214,0.172367375611,0.624648995958,0.624648995958
250,0.0353423626871,0.0741776638655,0.0671678333048,0.177825600103,0.623168175076,0.623168175076
260,0.0343529146177,0.0710872753381,0.0657461557345,0.175534124103,0.623882215655,0.623882215655
270,0.0332022796007,0.0686083549517,0.0609606543946,0.18144715912,0.625462570153,0.625462570153
280,0.0334204713577,0.0678742945331,0.0605620984957,0.180843206602,0.623984567586,0.623984567586
290,0.033437544061,0.0706791731395,0.0604713683331,0.181982420634,0.625864697366,0.625864697366
